"Nom de l'offre";"Description";"URL";"Catégorie";"Mode de lecture";"Mode d'accès";"DRM";"Types d'œuvres";"Compatibilité";"Spécificités";"Régime juridique";"Label"
"Les Editions Blanche de Peuterey";"Edition et vente de livres numériques dans les domaines humains et spirituels : Pères de l'Eglise, classiques de spiritualité, histoire, jeunesse-aventure, leadership, romans.";"http://www.peuterey-editions.com/";"eBook";"Téléchargement";"À l'acte";"Sans DRM";"Livre pratique, Littérature, Jeunesse / Éducatif";"Web, Windows, Mac Os X";"";"Œuvres protégées";""
"Izibook Eyrolles";"Librairie numérique proposée par le groupe Eyrolles qui distribue essentiellement des ouvrages pratiques.";"http://izibook.eyrolles.com/";"eBook";"Téléchargement";"À l'acte";"Avec DRM";"Presse / Revue, Livre pratique, Jeunesse / Éducatif";"Web, Windows, Mac Os X";"";"Œuvres protégées";""
"Les Editions Amalthée";"les Editions Amalthée publient un catalogue de livre autoédités dans tous les domaines : Roman, Poésie, Jeunesse, Théâtre, etc.";"http://www.editions-amalthee.com/";"eBook";"Téléchargement";"À l'acte";"Sans DRM";"Littérature, Auto-édité, Jeunesse / Éducatif";"Web, Windows, Mac Os X";"";"Œuvres protégées";""
"éditions HARLEQUIN";"Catalogue proposé par la maison d'éditions Harlequin.";"http://www.harlequin.fr/";"eBook";"Téléchargement";"À l'acte";"Avec DRM";"Littérature";"Web, Windows, Mac Os X, iOS, Android";"";"Œuvres protégées";""
"Elsevier Masson";"Livres, e-books, revues et EMC pour les étudiants et les professionnels médicaux et paramédicaux.";"http://www.elsevier-masson.fr/";"eBook";"Téléchargement";"À l'acte";"Non précisé";"Presse / Revue";"Web, Windows, Mac Os X";"";"Œuvres protégées";""
"Editions Sciences Humaines";"Les Éditions Sciences Humaines, ce sont des ouvrages adaptés aux besoins de tous ceux (étudiants, formateurs, enseignants, décideurs, amateurs et curieux…) qui souhaitent comprendre et connaître de l’intérieur le monde contemporain et les hommes qui le façonnent.";"http://editions.scienceshumaines.com/";"eBook";"Téléchargement";"À l'acte";"Non précisé";"Presse / Revue, Livre pratique";"Web, Windows, Mac Os X";"";"Œuvres protégées";""
"Edilivre";"Edilivre permet à tous les auteurs, du plus au moins expérimenté, d’éditer leurs manuscrits ainsi que de les diffuser simplement et gratuitement.";"http://www.edilivre.com/librairie.html";"eBook";"Téléchargement";"À l'acte";"Sans DRM";"Livre pratique, Littérature, Auto-édité, Court métrage, Jeunesse / Éducatif";"Web, Windows, Mac Os X";"";"Œuvres protégées";""
"Nolim store";"Carrefour propose un large catalogue de livres sur sa librairie numérique en complément de sa liseuse Nolim.";"https://nolim.carrefour.fr/fr/";"eBook";"Téléchargement";"À l'acte";"Avec DRM";"Livre pratique, Littérature, BD, Jeunesse / Éducatif";"Web, Windows, Mac Os X";"";"Œuvres protégées";""
"Mes livres numériques";"La librairie Meslivresnumeriques.be vous permet de télécharger tous les livres français disponibles en numérique : des auteurs à succès, des prix littéraires, les plus grandes nouveautés du moment, des polars, des romans sentimentaux, des livres gratuits, des extraits et des textes inédits, des livres en anglais, etc.";"http://www.meslivresnumeriques.be/ebook-belgium/shop/start.jsp";"eBook";"Téléchargement";"À l'acte";"Non précisé";"Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X";"";"Œuvres protégées";""
"Les éditions du Net";"Catalogue de livres édité par les Editions du net et disponibles en format ePub ou PDF.";"http://www.leseditionsdunet.com";"eBook";"Téléchargement";"À l'acte";"Non précisé";"Livre pratique, Littérature, Auto-édité";"Web, Windows, Mac Os X";"";"Œuvres protégées";""
"la librairie RH";"Librairie numérique proposant des ouvrages livres et ebook en ressources humaines, droit social, management, leadership ou communication. Des ouvrages pour mieux comprendre la réglementation du travail, la gestion RH, les retraites, la paie, la protection sociale, etc.  Le site permet d'acheter ou télécharger gratuitement des ebook au format PDF sans DRM. Les impressions et les copies sont autorisées.";"http://www.la-librairie-rh.com/";"eBook";"Streaming, Téléchargement";"À l'acte, Gratuit";"Sans DRM";"Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";""
"IS Ebooks";"Service de librairie numérique proposant l'achat du livre papier et le téléchargement de la version numérique. Les extraits des livres peuvent être consultables en direct via une visionneuse intégrée.";"http://www.is-ebooks.com/";"eBook";"Téléchargement";"À l'acte";"Sans DRM";"Livre pratique, Littérature, Jeunesse / Éducatif";"Web, Windows, Mac Os X";"";"Œuvres protégées";""
"France Loisirs";"Service de librairie numérique lancée par la société France Loisirs.";"http://www.franceloisirs.com/catalogue/rubrique/EBOOKS/eBooks";"eBook";"Téléchargement";"À l'acte";"Non précisé";"Livre pratique, Littérature, Jeunesse / Éducatif";"Web, Windows, Mac Os X";"";"Œuvres protégées";""
"ILV Edition";"ILV Edition est un service d'édition de livres et ebooks à compte d'auteur ou auto-édition lancé par InLibroVeritas en 2006.";"http://www.ilv-edition.com/";"eBook";"Téléchargement";"À l'acte";"Non précisé";"Auto-édité";"Web, Windows, Mac Os X";"";"Œuvres protégées";""
"ebook en Poche";"ebook en Poche se positionne  en éditeur de livres numériques et de livres électroniques, ou livres eBooks, sur le thème général de l'Histoire (eBook histoire).";"http://www.ebook-en-poche.fr/";"eBook";"Téléchargement";"À l'acte";"Non précisé";"Littérature";"Web, Windows, Mac Os X";"";"Œuvres protégées";""
"Bubok";"Bubok est un service gratuit de publication de livres qui propose une librairie numérique.";"https://www.bubok.fr/boutique";"eBook";"Téléchargement";"À l'acte";"Non précisé";"Presse / Revue, Livre pratique, Littérature, Auto-édité, Jeunesse / Éducatif";"Web, Windows, Mac Os X";"";"Œuvres protégées";""
"Boulanger";"La librairie numérique de Boulanger donne accès à un catalogue de livres très large, comprenant des Audiobooks et des Ebooks en langues étrangères.";"http://livre-numerique.boulanger.fr/";"eBook";"Téléchargement";"À l'acte";"Avec DRM, Sans DRM";"Presse / Revue, Livre pratique, Littérature, Jeunesse / Éducatif";"Web, Windows, Mac Os X";"Livre audio";"Œuvres protégées";""
"Aeria games";"Aeria Games & Entertainment, Inc. fournit des jeux en ligne gratuits et permet de s'amuser avec une communauté.";"http://www.aeriagames.com/";"Jeu vidéo";"Streaming";"Gratuit";"Sans DRM";"Casual, Indépendant";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";""
"Les Manufactures";"Le site « Les Manufactures », une initiative des Editions Montparnasse propose de louer, découvrir et partager des films et des documentaires de qualité en vidéo à la demande.";"http://lesmanufactures.fr/";"VOD & SVOD";"Streaming";"À l'acte, Abonnement";"Non précisé";"Série TV, Cinéma et fiction TV, Documentaire / Émission, Film de patrimoine";"Web, Windows, Mac Os X";"";"Œuvres protégées";""
"Wikibooks";"Wikibooks est une bibliothèque multilingue de livres pédagogiques libres.";"http://fr.wikibooks.org";"eBook";"Téléchargement";"Gratuit";"Sans DRM";"Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Licences libres";""
"Wild Side";"Wild Side est un éditeur de DVD et Blu-ray indépendant, qui propose également des films en vidéo à la demande. Wild Side offre des  films du monde entier, aussi bien issus du patrimoine cinématographique que du cinéma récent et grand public.";"http://www.wildside.fr/";"VOD & SVOD";"Téléchargement";"À l'acte";"Non précisé";"Cinéma et fiction TV, Dessin animé / Manga";"Web, Windows, Mac Os X";"Lien vers des services tiers";"Œuvres protégées";""
"Paramount Channel";"Plateforme de vidéo de la chaîne PARAMOUNT CHANNEL, dédiée au cinéma. Pour information, Paramount channel met principalement en ligne les magazines produits par eux-mêmes et, dans la mesure du possible, le lendemain de leur diffusion sur l’antenne de PARAMOUNT CHANNEL.";"http://www.paramountchannel.fr/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Documentaire / Émission";"Web, Windows, Mac Os X, iOS, Android, GNU / Linux";"Qualité HD";"Œuvres protégées";""
"J-ONE";"Plateforme de vidéo de la chaîne de divertissement J-ONE consacrée aux cultures et divertissements japonais et plus généralement asiatiques. Pour information, J-one met principalement en ligne les magazines produits par eux-mêmes et, dans la mesure du possible, le lendemain de leur diffusion sur l’antenne de J-ONE.";"http://www.j-one.com/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Documentaire / Émission";"Web, Windows, Mac Os X, iOS, Android, GNU / Linux";"Qualité HD";"Œuvres protégées";""
"Modern Score";"Modern score vend des partitions à imprimer pour piano, guitare et autres accompagnements. Impliquée dans le chant choral depuis plus de 10 ans, l'équipe de Modern Score a créé ce site pour les chefs de choeur, grâce à la connaissance qu'elle a des problématiques liées au chant choral.";"http://www.modernscore.com/";"Musique";"Téléchargement";"À l'acte";"Non précisé";"Partition";"Web, Windows, Mac Os X";"";"Œuvres protégées";""
"Store numériklire";"Le Store Numériklire est la librairie en ligne des Éditions Numeriklivres.";"http://www.storenumeriklire.com/";"eBook";"Téléchargement";"À l'acte";"Sans DRM";"Littérature, Jeunesse / Éducatif";"Web, Windows, Mac Os X";"Client / Appli, Livre homothétique";"Œuvres protégées";""
"Publie.net";"Librairie en ligne des éditions publie.net qui permet de télécharger un de lire en ligne plus de 600 titres.";"http://www.publie.net/";"eBook";"Streaming, Téléchargement";"À l'acte, Abonnement";"Non précisé";"Presse / Revue, Littérature, Jeunesse / Éducatif";"Web, Windows, Mac Os X";"Livre homothétique";"Œuvres protégées";""
"Gametap";"Gametap permet de télécharger et de jouer en Cloud gaming des jeux pour PC et Mac.";"http://fr.gametap.com/convergence/";"Jeu vidéo";"Téléchargement";"À l'acte, Abonnement";"Avec DRM";"Jeu classique, Core Gamer, Triple A";"Web, Windows, Mac Os X";"";"Œuvres protégées";""
"Le Bélial";"Les éditions le Bélial' proposent le téléchargement de livres, recueils et revues numériques des genres fantastiques et science-fiction.";"http://www.belial.fr/";"eBook";"Téléchargement";"À l'acte, Gratuit";"Avec DRM, Sans DRM";"Presse / Revue, Littérature, Format court";"Web, Windows, Mac Os X";"Livre homothétique";"Œuvres protégées";""
"Allociné";"Allociné propose une sélection de films en VOD grâce à son partenaire Canalplay VOD";"http://www.allocine.fr/vod";"VOD & SVOD";"Téléchargement";"À l'acte";"Non précisé";"Série TV, Cinéma indépendant, Cinéma et fiction TV";"Web, Windows, Mac Os X";"Lien vers des services tiers";"Œuvres protégées";""
"Play VOD";"Play VOD propose des films et des fictions sur tous supports en téléchargement ou en streaming.";"http://www.playvod.com/home.html#home.json";"VOD & SVOD";"Streaming, Téléchargement";"Abonnement";"Non précisé";"Cinéma et fiction TV";"Web, Windows, Mac Os X, iOS, Android";"";"Œuvres protégées";""
"LovemyVOD";"LovemyVOD propose un catalogue de films originaux en location.";"http://www.lovemyvod.fr/";"VOD & SVOD";"Streaming";"À l'acte";"Non précisé";"Cinéma indépendant";"Web, Windows, Mac Os X, iOS, Android, TV connectée";"";"Œuvres protégées";"1"
"XBOX Music";"Service de musique par abonnement de Microsoft disponible sur la XBOX, sur ordinateur, sur mobile et sur tablette";"http://music.xbox.com/";"Musique";"Streaming";"Abonnement, Gratuit";"Non précisé";"Catalogue Major";"Web, Windows, Mac Os X, iOS, Android, Console";"Moteur de recommandation et découverte";"Œuvres protégées";""
"Playstation Store";"Le Playstation store de Sony permet d'acheter l'ensemble des jeux disponibles sur les consoles PS3, PS4 et PS Vita.";"http://www.sonyentertainmentnetwork.com/fr-fr/playstation-store/";"Jeu vidéo";"Téléchargement";"À l'acte, Carte prépayée";"Non précisé";"Jeu classique, Core Gamer, Triple A";"Web, Windows, Mac Os X, Console";"";"Œuvres protégées";""
"Nintendo eshop";"Dans le Nintendo eShop sur Nintendo 3DS ou sur Wii U, vous pouvez : Télécharger des démos gratuites, Voir des vidéos et des captures d'écran de jeux, Télécharger des jeux en version complète, des titres de studios indépendants et bien plus encore";"http://www.nintendo.fr/Divers/Nintendo-eShop/Nintendo-eShop-Nintendo-3DS-et-Wii-U-109605.html";"Jeu vidéo";"Téléchargement";"À l'acte, Gratuit";"Non précisé";"Jeu classique, Core Gamer, Triple A";"Console";"";"Œuvres protégées";""
"Wikimedia Commons";"Wikimedia Commons est une médiathèque multilingue de contenus (images, sons et vidéos) à vocation pédagogique relevant du domaine public ou publiés sous licence libre.";"http://commons.wikimedia.org/wiki/Main_Page";"Photo";"Téléchargement";"Gratuit";"Sans DRM";"Banque d'images";"Web, Windows, Mac Os X, iOS, Android, GNU / Linux";"";"Licences libres";""
"iBibliothèque";"iBIBLIOTHEQUE propose gratuitement une édition de référence, enrichie et parfaitement multimédia des plus grands classiques de la littérature française. Le tout avec la caution de la rédaction du Figaro Littéraire et celle des éditions Garnier.";"http://www.ibibliotheque.fr/";"eBook";"Streaming";"Gratuit";"Non précisé";"Littérature";"Web, Windows, Mac Os X, iOS";"Livre enrichi";"Domaine public";""
"Le peuple de Mü";"lepeupledemu.fr est une maison d'édition 100% numérique proposant deux types de livres numériques :- des oeuvres originales d'auteurs contemporains francophones- une série Immortelle regroupant les grands classiques de la littérature fantastique téléchargeables gratuitement";"http://www.lepeupledemu.fr";"eBook";"Téléchargement";"À l'acte, Gratuit";"Non précisé";"Littérature, Format court";"Web, Windows, Mac Os X";"";"Domaine public, Œuvres protégées";""
"Art Book Magazine";"Art, Book, Magazine est une librairie indépendante d'ouvrages numériques dédiés à Art contemporain, la photographie et l'architecture. Une centaine de titres gratuits et payants sont déjà disponibles et accessibles depuis votre iPad.";"http://www.artbookmagazine.com/";"eBook";"Téléchargement";"À l'acte";"Non précisé";"Presse / Revue";"iOS";"Livre homothétique";"Œuvres protégées";""
"Libération Ebooks";"Sélection del ivres proposés par le quotidien Libération pour votre liseuse";"http://www.liberation.fr/bibliotheque/";"eBook";"Téléchargement";"À l'acte";"Non précisé";"Presse / Revue";"Web, Windows, Mac Os X";"Livre homothétique";"Œuvres protégées";""
"Akibooks";"Librairie en ligne proposant une offre gén""raliste de livres numériques à télécharger.";"http://www.akibooks.com/fr";"eBook";"Téléchargement";"À l'acte, Gratuit";"Sans DRM";"Littérature, Jeunesse / Éducatif";"Web, Windows, Mac Os X";"Livre homothétique";"Œuvres protégées";""
"myZen.tv (TV-R)";"La chaîne myZen TV propose un service de SVOD et télévision de rattrapage de plus de 350 exercices et massages de bien-être à la demande.";"http://www.myzen.tv";"TV replay";"Streaming";"Abonnement, Gratuit";"Sans DRM";"Sport / Lifestyle";"Android, GNU / Linux, iOS, Mac Os X, RIM, TV connectée, Web, Windows";"";"Œuvres protégées";""
"Melody.tv (SVOD)";"La chaîne Télé Melody propose un service de SVOD et télévision de rattrapage de plus de 600 émissions à la demande dont 100 variétés des années 60 à 90.";"http://www.melody.tv";"VOD & SVOD";"Streaming";"Abonnement, Gratuit";"Sans DRM";"Spectacle / Concert, Documentaire / Émission";"Android, GNU / Linux, iOS, Mac Os X, TV connectée, Web, Windows";"";"Œuvres protégées";""
"NumeriBooks";"Site mettant à disposition des internautes une offre de livres numériques gratuits issus d'œuvres tombées dans le domaine public. Le site propose un système de crédits selon la participation de l'usager sur le site, tout en restant complètement gratuit.";"http://www.numeribooks.com/";"eBook";"Streaming, Téléchargement";"Gratuit";"";"Livre pratique, Littérature, Format court";"GNU / Linux, Mac Os X, Web, Windows";"Livre homothétique";"Domaine public, Œuvres protégées";""
"MySkreen (VOD)";"Plateforme de streaming vidéo généraliste disposant également d'offres de télévision de rattrapage provenant de la majorité des chaines de télévision.";"http://www.myskreen.com/";"VOD & SVOD";"Streaming";"À l'acte";"";"Cinéma et fiction TV, Série TV, Dessin animé / Manga, Documentaire / Émission, Spectacle / Concert";"Web, Windows, Mac Os X";"Lien vers des services tiers";"Œuvres protégées";""
"iTunes Store (VOD)";"iTunes est une application gratuite pour Mac et PC qui permet la lecture des contenus audio et vidéo. iTunes donne accès à l'iTunes Store, qui dispose d’un catalogue de 15 millions de titres.";"http://www.apple.com/fr/itunes/download/";"VOD & SVOD";"Téléchargement, Streaming";"Carte prépayée, À l'acte";"";"Cinéma et fiction TV, Série TV, Dessin animé / Manga, Documentaire / Émission, Court métrage, Spectacle / Concert, Film de patrimoine, Sport / Lifestyle";"Windows, Mac Os X, iOS, TV connectée";"Qualité HD, Sous-titres VOST, Séries dispo 24h après diffusion";"Œuvres protégées";"1"
"Google Play Films";"Offre de VOD de Google, via son service GooglePlay. Les films sont disponibles en streaming, visionnables depuis différents supports.";"https://play.google.com/store/movies";"VOD & SVOD";"Streaming";"À l'acte";"";"Cinéma et fiction TV, Court métrage, Dessin animé / Manga";"Web, Windows, Mac Os X, iOS, Android, GNU / Linux, RIM";"Qualité HD";"Œuvres protégées";""
"SFR Live Concerts";"Site de SFR proposant de la VOD entièrement dédiée à des concerts live, visionnables sur plusieurs typs de supports.";"http://www.live-concert.sfr.fr/";"VOD & SVOD";"Streaming";"Gratuit, Abonnement, À l'acte";"";"Spectacle / Concert, VOD musicale";"Web, Windows, Mac Os X, iOS, Android, TV connectée";"Qualité HD";"Œuvres protégées";""
